runID,stateName,Hs,Tp,stateProbability,phaseSeed,split,faultName,severity,Bfault_NsPm,csvPath,expectedDamping_NsPm,estimatedDamping_NsPm,relativeDampingError,forceLawMaxError_N,forceLawRelativeError,powerConsistencyError_W,completed
12,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00012_seed003_sev080_Hs110_Tp850.csv,960000,959999.999999997,3.27418092638254e-15,9.89530235528946e-10,2.35693621308051e-15,0,1
13,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00013_seed003_sev060_Hs110_Tp850.csv,720000,720000,4.85063840945562e-16,8.73114913702011e-10,2.53055060644565e-15,0,1
14,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00014_seed003_sev040_Hs110_Tp850.csv,480000,480000,8.48861721654733e-16,7.42147676646709e-10,2.91818738607201e-15,0,1
15,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00015_seed003_sev020_Hs110_Tp850.csv,240000,240000,1.09139364212751e-15,6.69388100504875e-10,4.7191022937868e-15,0,1
16,State1_Calm,1.1,8.5,0.177993,4,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00016_seed004_sev100_Hs110_Tp850.csv,1200000,1200000,3.88051072756449e-16,1.51339918375015e-09,2.410282284866e-15,0,1
17,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00017_seed004_sev080_Hs110_Tp850.csv,960000,959999.999999998,1.94025536378225e-15,1.33877620100975e-09,2.49178579207174e-15,0,1
18,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00018_seed004_sev060_Hs110_Tp850.csv,720000,719999.999999998,2.58700715170966e-15,1.16415321826935e-09,2.65978929536898e-15,0,1
19,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00019_seed004_sev040_Hs110_Tp850.csv,480000,479999.999999999,3.03164900590976e-15,9.89530235528946e-10,3.1050567133336e-15,0,1
20,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00020_seed004_sev020_Hs110_Tp850.csv,240000,239999.999999999,4.97190436969201e-15,1.07684172689915e-09,5.86943573251677e-15,0,1
21,State1_Calm,1.1,8.5,0.177993,5,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00021_seed005_sev100_Hs110_Tp850.csv,1200000,1200000,4.07453626394272e-15,1.62981450557709e-09,2.5305326983484e-15,0,1
22,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00022_seed005_sev080_Hs110_Tp850.csv,960000,959999.999999997,2.78911708543698e-15,1.39698386192322e-09,2.52276845652036e-15,0,1
23,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00023_seed005_sev060_Hs110_Tp850.csv,720000,720000,6.46751787927416e-16,1.16415321826935e-09,2.58723893714579e-15,0,1
24,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00024_seed005_sev040_Hs110_Tp850.csv,480000,480000,6.06329801181952e-16,1.09139364212751e-09,3.32931798270055e-15,0,1
25,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00025_seed005_sev020_Hs110_Tp850.csv,240000,239999.999999999,3.51671284685532e-15,1.13050191430375e-09,6.21328187116065e-15,0,1
26,State1_Calm,1.1,8.5,0.177993,6,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00026_seed006_sev100_Hs110_Tp850.csv,1200000,1200000,3.68648519118627e-15,1.39698386192322e-09,2.29946907344221e-15,0,1
27,State1_Calm,1.1,8.5,0.177993,6,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00027_seed006_sev080_Hs110_Tp850.csv,960000,959999.999999998,2.5465851649642e-15,1.28056854009628e-09,2.47479980869859e-15,0,1
28,State1_Calm,1.1,8.5,0.177993,6,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00028_seed006_sev060_Hs110_Tp850.csv,720000,719999.999999999,8.0843973490927e-16,1.16415321826935e-09,2.81085056175179e-15,0,1
29,State1_Calm,1.1,8.5,0.177993,6,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00029_seed006_sev040_Hs110_Tp850.csv,480000,479999.999999999,2.30405324449142e-15,9.31322574615479e-10,3.15322528019103e-15,0,1
30,State1_Calm,1.1,8.5,0.177993,6,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00030_seed006_sev020_Hs110_Tp850.csv,240000,239999.999999999,3.03164900590976e-15,8.73114913702011e-10,5.51514203755075e-15,0,1
31,State1_Calm,1.1,8.5,0.177993,7,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00031_seed007_sev100_Hs110_Tp850.csv,1200000,1199999.99999999,5.43271501859029e-15,1.22236087918282e-09,2.43325335472151e-15,0,1
32,State1_Calm,1.1,8.5,0.177993,7,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00032_seed007_sev080_Hs110_Tp850.csv,960000,960000,4.85063840945562e-16,1.10594555735588e-09,2.58200402525002e-15,0,1
33,State1_Calm,1.1,8.5,0.177993,7,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00033_seed007_sev060_Hs110_Tp850.csv,720000,720000.000000001,8.0843973490927e-16,9.31322574615479e-10,2.63853732881222e-15,0,1
34,State1_Calm,1.1,8.5,0.177993,7,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00034_seed007_sev040_Hs110_Tp850.csv,480000,479999.999999998,4.36557456851006e-15,8.14907252788544e-10,3.07670761851192e-15,0,1
35,State1_Calm,1.1,8.5,0.177993,7,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00035_seed007_sev020_Hs110_Tp850.csv,240000,239999.999999999,4.97190436969201e-15,6.40284270048141e-10,4.16681916947317e-15,0,1
36,State1_Calm,1.1,8.5,0.177993,8,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00036_seed008_sev100_Hs110_Tp850.csv,1200000,1200000,2.71635750929515e-15,1.51339918375015e-09,2.44989856579285e-15,0,1
37,State1_Calm,1.1,8.5,0.177993,8,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00037_seed008_sev080_Hs110_Tp850.csv,960000,959999.999999997,3.03164900590976e-15,1.39698386192322e-09,2.69159719204932e-15,0,1
38,State1_Calm,1.1,8.5,0.177993,8,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00038_seed008_sev060_Hs110_Tp850.csv,720000,719999.999999998,2.58700715170966e-15,1.04773789644241e-09,2.55188670618762e-15,0,1
39,State1_Calm,1.1,8.5,0.177993,8,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00039_seed008_sev040_Hs110_Tp850.csv,480000,479999.999999997,5.82076609134674e-15,7.8580342233181e-10,2.70061829124917e-15,0,1
40,State1_Calm,1.1,8.5,0.177993,8,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00040_seed008_sev020_Hs110_Tp850.csv,240000,240000,8.48861721654733e-16,7.13043846189976e-10,4.54742776044748e-15,0,1
41,State1_Calm,1.1,8.5,0.177993,9,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00041_seed009_sev100_Hs110_Tp850.csv,1200000,1200000,3.88051072756449e-16,1.51339918375015e-09,2.47635483922537e-15,0,1
42,State1_Calm,1.1,8.5,0.177993,9,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00042_seed009_sev080_Hs110_Tp850.csv,960000,959999.999999996,3.7592447673281e-15,1.28056854009628e-09,2.4403037096679e-15,0,1
43,State1_Calm,1.1,8.5,0.177993,9,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00043_seed009_sev060_Hs110_Tp850.csv,720000,719999.999999999,1.94025536378225e-15,1.04773789644241e-09,2.46907030947496e-15,0,1
44,State1_Calm,1.1,8.5,0.177993,9,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00044_seed009_sev040_Hs110_Tp850.csv,480000,480000,4.85063840945562e-16,8.73114913702011e-10,2.84484823979525e-15,0,1
45,State1_Calm,1.1,8.5,0.177993,9,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00045_seed009_sev020_Hs110_Tp850.csv,240000,240000,1.57645748307308e-15,9.16770659387112e-10,5.45767916430437e-15,0,1
46,State1_Calm,1.1,8.5,0.177993,10,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00046_seed010_sev100_Hs110_Tp850.csv,1200000,1200000,1.5522042910258e-15,1.39698386192322e-09,2.43178696212281e-15,0,1
47,State1_Calm,1.1,8.5,0.177993,10,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00047_seed010_sev080_Hs110_Tp850.csv,960000,959999.999999997,2.78911708543698e-15,1.16415321826935e-09,2.39539881245539e-15,0,1
48,State1_Calm,1.1,8.5,0.177993,10,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00048_seed010_sev060_Hs110_Tp850.csv,720000,719999.999999998,2.26363125774595e-15,9.89530235528946e-10,2.56182607899448e-15,0,1
49,State1_Calm,1.1,8.5,0.177993,10,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00049_seed010_sev040_Hs110_Tp850.csv,480000,479999.999999998,3.7592447673281e-15,8.14907252788544e-10,2.9681182313994e-15,0,1
50,State1_Calm,1.1,8.5,0.177993,10,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00050_seed010_sev020_Hs110_Tp850.csv,240000,239999.999999999,2.42531920472781e-15,7.05767888575792e-10,4.80039149666777e-15,0,1
51,State1_Calm,1.1,8.5,0.177993,11,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00051_seed011_sev100_Hs110_Tp850.csv,1200000,1199999.99999999,4.46258733669917e-15,1.39698386192322e-09,2.53779089309555e-15,0,1
52,State1_Calm,1.1,8.5,0.177993,11,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00052_seed011_sev080_Hs110_Tp850.csv,960000,960000,1.2126596023639e-16,1.10594555735588e-09,2.3953467587174e-15,0,1
53,State1_Calm,1.1,8.5,0.177993,11,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00053_seed011_sev060_Hs110_Tp850.csv,720000,719999.999999998,2.74869509869152e-15,9.89530235528946e-10,2.728825521289e-15,0,1
54,State1_Calm,1.1,8.5,0.177993,11,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00054_seed011_sev040_Hs110_Tp850.csv,480000,479999.999999998,4.24430860827367e-15,7.8580342233181e-10,3.09896404919351e-15,0,1
55,State1_Calm,1.1,8.5,0.177993,11,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00055_seed011_sev020_Hs110_Tp850.csv,240000,239999.999999999,4.12304264803727e-15,6.62112142890692e-10,4.70302450798836e-15,0,1
56,State1_Calm,1.1,8.5,0.177993,12,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00056_seed012_sev100_Hs110_Tp850.csv,1200000,1200000,1.74622982740402e-15,1.74622982740402e-09,2.75590036107869e-15,0,1
57,State1_Calm,1.1,8.5,0.177993,12,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00057_seed012_sev080_Hs110_Tp850.csv,960000,959999.999999998,1.94025536378225e-15,1.39698386192322e-09,2.61395986447975e-15,0,1
58,State1_Calm,1.1,8.5,0.177993,12,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00058_seed012_sev060_Hs110_Tp850.csv,720000,719999.999999998,3.23375893963708e-15,1.04773789644241e-09,2.48080210180595e-15,0,1
59,State1_Calm,1.1,8.5,0.177993,12,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00059_seed012_sev040_Hs110_Tp850.csv,480000,479999.999999998,4.12304264803727e-15,8.44011083245277e-10,2.8512234610795e-15,0,1
60,State1_Calm,1.1,8.5,0.177993,12,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00060_seed012_sev020_Hs110_Tp850.csv,240000,239999.999999999,3.15291496614615e-15,7.8580342233181e-10,5.07847065630658e-15,0,1
61,State1_Calm,1.1,8.5,0.177993,13,validation,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00061_seed013_sev100_Hs110_Tp850.csv,1200000,1200000,1.94025536378225e-15,1.39698386192322e-09,2.33638851765399e-15,0,1
62,State1_Calm,1.1,8.5,0.177993,13,validation,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00062_seed013_sev080_Hs110_Tp850.csv,960000,959999.999999999,1.09139364212751e-15,1.22236087918282e-09,2.41365716840456e-15,0,1
63,State1_Calm,1.1,8.5,0.177993,13,validation,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00063_seed013_sev060_Hs110_Tp850.csv,720000,719999.999999999,1.61687946981854e-15,9.89530235528946e-10,2.46059745078859e-15,0,1
64,State1_Calm,1.1,8.5,0.177993,13,validation,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00064_seed013_sev040_Hs110_Tp850.csv,480000,479999.999999999,1.33392556260029e-15,8.44011083245277e-10,2.98714788733798e-15,0,1
65,State1_Calm,1.1,8.5,0.177993,13,validation,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00065_seed013_sev020_Hs110_Tp850.csv,240000,239999.999999999,2.91038304567337e-15,7.42147676646709e-10,5.02723978463645e-15,0,1
66,State1_Calm,1.1,8.5,0.177993,14,validation,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00066_seed014_sev100_Hs110_Tp850.csv,1200000,1200000,2.91038304567337e-15,1.45519152283669e-09,2.49572970167309e-15,0,1
67,State1_Calm,1.1,8.5,0.177993,14,validation,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00067_seed014_sev080_Hs110_Tp850.csv,960000,960000,0,1.22236087918282e-09,2.45732848184019e-15,0,1
68,State1_Calm,1.1,8.5,0.177993,14,validation,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00068_seed014_sev060_Hs110_Tp850.csv,720000,719999.999999998,3.39544688661893e-15,1.16415321826935e-09,2.91053204451667e-15,0,1
69,State1_Calm,1.1,8.5,0.177993,14,validation,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00069_seed014_sev040_Hs110_Tp850.csv,480000,479999.999999998,4.00177668780088e-15,8.14907252788544e-10,2.82748319133898e-15,0,1
70,State1_Calm,1.1,8.5,0.177993,14,validation,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00070_seed014_sev020_Hs110_Tp850.csv,240000,240000,2.06152132401864e-15,1.04046193882823e-09,6.60773441955524e-15,0,1
71,State1_Calm,1.1,8.5,0.177993,15,validation,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00071_seed015_sev100_Hs110_Tp850.csv,1200000,1200000,3.68648519118627e-15,1.51339918375015e-09,2.3989700608979e-15,0,1
72,State1_Calm,1.1,8.5,0.177993,15,validation,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00072_seed015_sev080_Hs110_Tp850.csv,960000,959999.999999999,1.09139364212751e-15,1.39698386192322e-09,2.57449871403581e-15,0,1
73,State1_Calm,1.1,8.5,0.177993,15,validation,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00073_seed015_sev060_Hs110_Tp850.csv,720000,720000,3.23375893963708e-16,1.10594555735588e-09,2.49706153383268e-15,0,1
74,State1_Calm,1.1,8.5,0.177993,15,validation,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00074_seed015_sev040_Hs110_Tp850.csv,480000,479999.999999999,2.18278728425503e-15,1.08775566332042e-09,3.36767951520912e-15,0,1
75,State1_Calm,1.1,8.5,0.177993,15,validation,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00075_seed015_sev020_Hs110_Tp850.csv,240000,240000,1.57645748307308e-15,1.00408215075731e-09,5.62416562594724e-15,0,1
76,State1_Calm,1.1,8.5,0.177993,16,validation,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00076_seed016_sev100_Hs110_Tp850.csv,1200000,1200000,3.88051072756449e-16,1.51339918375015e-09,2.44471410423513e-15,0,1
